date,TERM_SPREAD,CREDIT_SPREAD,INDPRO_YoY,CPI_YoY,UNRATE_Delta,hmm_state,prob_state_0,prob_state_1,prob_state_2
1987-11-30,3.169999999999999,1.2200000000000006,7.457418349576361,4.429422023100393,-0.5,0,0.999999970773843,3.0526550226343714e-11,2.9195486401158573e-08
1987-12-31,3.2200000000000006,1.1799999999999997,7.072719093518209,4.24091819250938,-0.5,0,0.9999999693727664,9.013608137223976e-12,3.061820599305839e-08
1988-01-31,2.8600000000000003,1.1899999999999995,7.402391732852998,4.046286361318074,-0.39999999999999947,0,0.9999999898423084,1.5035082677368997e-11,1.0142528710169897e-08
1988-02-29,2.5500000000000007,1.2199999999999989,6.592827690111225,3.8601283696812594,-0.2999999999999998,0,0.9999999812348508,1.0771333888229853e-11,1.8754234154808832e-08
1988-03-31,2.669999999999999,1.1799999999999997,6.694590452956017,3.7608279917159315,-0.20000000000000018,0,0.999999985995146,2.2869230804860135e-11,1.3982011846151538e-08
1988-04-30,2.8100000000000005,1.2300000000000004,6.641916931106628,3.9152456097181876,-0.5999999999999996,0,0.9999999689002839,5.4639296794321547e-11,3.1045231281951555e-08
1988-05-31,2.83,1.1399999999999988,5.8098129465209425,3.905051487187272,-0.20000000000000018,0,0.9999999327960745,6.632083338120765e-11,6.713754515328629e-08
1988-06-30,2.46,1.1400000000000006,5.582902755654295,3.888178754420757,-0.2999999999999998,0,0.9999999135093314,2.121590382322531e-10,8.627857343443532e-08
1988-07-31,2.33,1.1499999999999986,4.9178873514835075,4.047043888295576,-0.2999999999999998,0,0.9999996968822875,3.753799278705486e-10,3.027421244129629e-07
1988-08-31,2.2,1.1000000000000014,4.670247125523463,4.029692231076432,-0.10000000000000053,0,0.9999995921380936,1.0308087866079745e-09,4.068309793501174e-07
1988-09-30,1.7400000000000002,1.08,3.9641063883454564,4.099634723624046,-0.2999999999999998,0,0.9999989174563273,3.7902041542345726e-09,1.0787536741973488e-06
1988-10-31,1.450000000000001,0.9000000000000004,3.0709105164859807,4.172593367021804,0.0,0,0.999995968408653,3.193244248214035e-09,4.02839823517631e-06
1988-11-30,1.200000000000001,1.0300000000000011,2.825891470905173,4.158426890663414,-0.2999999999999998,0,0.9999960293090842,3.6372689429778862e-09,3.967053573103399e-06
1988-12-31,1.0399999999999991,1.08,2.7185677308185774,4.31721718652085,-0.10000000000000053,0,0.9999962089194935,4.76752676204922e-09,3.7863131620775143e-06
1989-01-31,0.8200000000000003,1.0300000000000011,3.032803472972123,4.3851882528849195,0.0,0,0.9999970602323184,4.2481146356523965e-08,2.897286706879157e-06
1989-02-28,0.6400000000000006,0.9699999999999989,2.0893766547148473,4.542412511425553,-0.39999999999999947,0,0.9999736512169687,2.91004692762336e-07,2.6057778295890838e-05
1989-03-31,0.5399999999999991,0.8699999999999992,2.0926552551783217,4.776777373173946,-0.40000000000000036,0,0.9999328170401546,9.022682891763783e-07,6.628069176164415e-05
1989-04-30,0.5299999999999994,0.8200000000000003,1.4992492817497372,4.911515604749539,-0.20000000000000018,0,0.9998956578895192,1.0536757119523383e-06,0.00010328843458702242
1989-05-31,0.4299999999999997,0.8900000000000006,1.1309470413555012,5.142094581422896,-0.09999999999999964,0,0.9998719633150652,1.262492704620361e-06,0.000126774192381294
1989-06-30,0.129999999999999,0.9299999999999997,0.8336456828265781,5.040306774489611,0.0,0,0.9999227725665647,1.4633077395926326e-06,7.576412549400805e-05
1989-07-31,0.13999999999999968,0.9399999999999995,-0.1504414293248324,4.939275532957588,-0.20000000000000018,0,0.9998116344951501,2.9191505900312386e-07,0.0001880735899849104
1989-08-31,0.20999999999999908,0.9199999999999999,0.32445265976672744,4.518222279323236,0.0,0,0.9999599399873424,4.678476246992398e-08,4.0013227970328444e-05
1989-09-30,0.4399999999999995,0.9000000000000004,0.3235193366993627,4.339608456376176,0.2999999999999998,0,0.9999587783456121,3.564820134038134e-08,4.118600607238866e-05
1989-10-31,0.3700000000000001,0.8900000000000006,-0.24151011520370247,4.485056616535221,0.09999999999999964,0,0.999935880967569,3.9049108581356037e-08,6.407998317811835e-05
1989-11-30,0.17999999999999972,0.9199999999999999,-0.14575042985427444,4.549931806966789,0.20000000000000018,0,0.9999488753346332,6.493795375615118e-08,5.105972763122913e-05
1989-12-31,0.20999999999999996,0.9600000000000009,-0.050758518651061735,4.5351901252959514,0.10000000000000053,0,0.9999369240593626,5.042735625442815e-07,6.257166724672145e-05
1990-01-31,0.5700000000000012,0.9499999999999993,-0.8523567085913619,5.067429096326759,0.20000000000000018,0,0.9995455426140445,3.0369749325456896e-06,0.0004514204109646263
1990-02-28,0.7300000000000004,0.9199999999999999,0.4952070729176583,5.129329438755015,0.09999999999999964,0,0.9996459324513728,4.1766543410028905e-06,0.0003498908944501613
1990-03-31,0.6899999999999995,0.8400000000000016,0.7423665291343973,5.104776506602349,-0.09999999999999964,0,0.9996491664106445,3.2253565333794935e-06,0.00034760823264108273
1990-04-30,1.0199999999999996,0.8399999999999999,0.495009580710537,4.603987675473409,0.10000000000000053,0,0.9998482291544597,5.073428836369044e-06,0.00014669741679851475
1990-05-31,1.0199999999999996,0.9399999999999995,1.368829461396448,4.272801845415408,0.0,0,0.9999101366181814,6.436874198560367e-05,2.5494639607203007e-05
1990-06-30,0.75,0.9600000000000009,1.7150215832036686,4.567723146599256,-0.20000000000000018,0,0.9971465763111724,0.0027563658923473646,9.705779658599514e-05
1990-07-31,0.8500000000000005,0.9599999999999991,2.509530236575852,4.706751085798633,0.09999999999999964,0,0.9525138826991486,0.04658842579831688,0.0008976915024191601
1990-08-31,1.2999999999999998,1.0,1.8831432193610276,5.54613029864548,0.40000000000000036,1,0.3499233870929078,0.6204242650703606,0.029652347836661867
1990-09-30,1.5300000000000002,1.08,2.204664989717564,5.987018949094924,0.7000000000000002,1,0.01547882860275813,0.9208820946136629,0.06363907678360498
1990-10-31,1.5500000000000007,1.2100000000000009,1.753575488191661,6.184350528270333,0.5,1,0.0010014140618836763,0.9250388269450828,0.07395975899313464
1990-11-30,1.330000000000001,1.3199999999999985,0.1365258675895653,6.011054305759611,0.7999999999999998,1,1.3478266623500207e-05,0.8575629542112466,0.14242356752220817
1990-12-31,1.3399999999999999,1.379999999999999,-1.147056620234732,6.067119518113628,1.0999999999999996,1,5.698924724027335e-08,0.660490325428769,0.33950961758198045
1991-01-31,1.87,1.4100000000000001,-0.9661124511985975,5.493371881783737,0.9000000000000004,2,1.2229897354893685e-06,0.3611584329512275,0.6388403440591547
1991-02-28,1.9099999999999993,1.2400000000000002,-2.6117701550173678,5.176193455858957,0.8999999999999995,2,4.086241575053359e-06,0.10660307968394396,0.8933928340744833
1991-03-31,2.1999999999999993,1.1600000000000001,-3.6857943808214166,4.708538667468787,0.8999999999999995,2,8.410186228857284e-06,0.015961844656623796,0.9840297451570988
1991-04-30,2.389999999999999,1.08,-3.1599550008218458,4.697833502101112,0.7999999999999998,2,9.801430215593181e-05,0.003588855261218072,0.9963131304364126
1991-05-31,2.6100000000000003,1.0,-2.526630272674968,4.912207765369825,0.7000000000000002,2,0.002577408809753972,0.0016034079299833517,0.9958191832601955
1991-06-30,2.709999999999999,0.9500000000000011,-2.058172450464557,4.588996205949858,0.6000000000000005,2,0.04991388167909309,0.0005186147784143143,0.949567503542454
1991-07-31,2.6899999999999995,0.8900000000000006,-1.6036159483543422,4.275116695266323,0.39999999999999947,2,0.3286748919565065,0.00010920853231657716,0.6712158995112794
1991-08-31,2.5700000000000003,0.9000000000000004,-1.9534249158160932,3.7289928245472836,0.3000000000000007,0,0.7219944102732267,4.086328186961115e-06,0.278001503398469
1991-09-30,2.4300000000000006,0.9000000000000004,-1.1708841321056873,3.3398280401848446,0.10000000000000053,0,0.9639604981327774,1.604480521929961e-07,0.03603934141930192
1991-10-31,2.54,0.9399999999999995,-0.6395790015674585,2.808758181026061,0.2999999999999998,0,0.9980454179222022,4.3743713950630115e-09,0.0019545777034831705
1991-11-30,2.8600000000000003,0.9699999999999989,0.48177380435889816,3.020487447166076,0.09999999999999964,0,0.9999582124583045,5.743767590530573e-09,4.1781798073179427e-05
1991-12-31,3.0199999999999996,0.9499999999999993,0.7309950322199832,2.93706867959882,0.39999999999999947,0,0.9999776662086527,1.8195572382827236e-08,2.231559596564664e-05
1992-01-31,3.2300000000000004,0.9300000000000015,0.5319877372008008,2.6375155254394045,0.5,0,0.999969132985646,7.599746092736595e-09,3.085941449933147e-05
1992-02-29,3.5,0.9400000000000013,1.9770703029326597,2.7799888277596274,0.5,0,0.999990485058126,9.178721983874282e-09,9.50576329023425e-06
1992-03-31,3.5,0.9000000000000004,3.4031264296117136,3.1400900451190594,0.5,0,0.9999953769404326,8.770825507828672e-09,4.614288747925118e-06
1992-04-30,3.7300000000000004,0.8800000000000008,3.8957587368800617,3.1332253360270457,0.40000000000000036,0,0.999998561140854,3.6641764117196804e-08,1.4022174838012446e-06
1992-05-31,3.76,0.8500000000000014,3.287312793238595,2.978789075662114,0.5999999999999996,0,0.9999908098720259,7.915242897305725e-08,9.110975713238572e-06
1992-06-30,3.5999999999999996,0.8300000000000001,2.531443717931481,2.970156760690923,0.5,0,0.9999907914399212,1.6174485233474506e-08,9.19238555825156e-06
1992-07-31,3.63,0.7699999999999996,3.16826833866779,3.1083095058389354,0.40000000000000036,0,0.9999958657416723,1.1075354416573793e-08,4.123183067932095e-06
1992-08-31,3.46,0.7000000000000002,2.608646848765961,3.0283496587252934,0.1999999999999993,0,0.9999963418521083,5.610108475113887e-09,3.652537899328924e-06
1992-09-30,3.51,0.6999999999999993,2.147792470843868,2.9487933030643454,0.1999999999999993,0,0.9999949935315995,1.0418953560339836e-09,5.005426355139858e-06
1992-10-31,3.73,0.8499999999999996,2.875341723153202,3.2272431404850366,-0.10000000000000053,0,0.9999989552830811,3.1155850529245877e-10,1.0444053349122557e-06
